id,nome,cpf,data_nascimento,data_cadastro,salario,cidade,estado,telefone,observacao
1,Ana,435.785.643-07,1990-01-15,2023-11-20,"R$ 2.500,00",São Leopoldo,,,
2,Eduarda,98575324674,1985-07-30,2021-05-01,,São Leopoldo,RS,(51)99999-0000,Cliente antigo
3,Eduarda,72813717782,2000-12-05,2023-11-20,,Porto Alegre,SC,,
4,Eduarda,55960451923,,2022-07-15,"R$ 2.500,00",Porto Alegre,RS,(51)99999-0000,
5,Eduarda,278.223.318-46,,,,São Leopoldo,,,
6,Gabriela,864.259.701-08,1990-01-15,2022-07-15,"R$ 2.500,00",,RS,(51)99999-0000,
7,Daniela,01741118565,1990-01-15,,,Canoas,RS,,
8,Gabriela,421.347.132-22,2000-12-05,,"R$ 3.000,00",Canoas,RS,,Cliente antigo
9,Daniela,80317972461,2000-12-05,,"R$ 2.500,00",São Leopoldo,RS,51999990000,Cliente antigo
10,Gabriela,43610246087,2000-12-05,,,Gravataí,RS,(51)99999-0000,
11,Felipe,79640416255,1990-01-15,,"R$ 3.000,00",,PR,,Cliente antigo
12,Eduarda,37628237527,,,,,SC,,
13,Gabriela,67467559990,,,3500.00,São Leopoldo,RS,51999990000,
14,Bruno,37519265113,,2022-07-15,"R$ 3.000,00",,PR,,Cliente antigo
15,Felipe,74987857386,,,,,,,Cliente antigo
16,Gabriela,529.391.073-62,1985-07-30,,3500.00,São Leopoldo,PR,,
17,Gabriela,974.934.701-08,,,3500.00,,PR,,
18,Daniela,79282497279,,2022-07-15,3500.00,,,(51)99999-0000,
19,Bruno,535.229.434-69,2000-12-05,,,Gravataí,PR,51999990000,
20,Eduarda,063.693.432-59,2000-12-05,2023-11-20,,Gravataí,PR,,
21,Daniela,07582954851,2000-12-05,,3500.00,São Leopoldo,RS,,
22,Daniela,53729980095,1990-01-15,,"R$ 3.000,00",Porto Alegre,PR,,
23,Eduarda,383.448.774-77,,2022-07-15,3500.00,Canoas,,51999990000,
24,Daniela,452.805.657-90,2000-12-05,2023-11-20,,São Leopoldo,RS,51999990000,Cliente antigo
25,Carlos,91969998230,,2023-11-20,,,SC,,
26,Ana,013.457.054-41,,,"R$ 2.500,00",São Leopoldo,RS,,
27,Daniela,170.882.448-24,2000-12-05,2023-11-20,"R$ 2.500,00",Canoas,,51999990000,
28,Felipe,27892105755,,2022-07-15,"R$ 2.500,00",Gravataí,SC,,
29,Bruno,350.143.071-46,,2022-07-15,,Porto Alegre,SC,51999990000,
30,Felipe,72387767467,2000-12-05,2023-11-20,,Porto Alegre,,,
31,Eduarda,30547042618,,,"R$ 2.500,00",,RS,(51)99999-0000,
32,Eduarda,79355154427,1985-07-30,2021-05-01,"R$ 2.500,00",Canoas,SC,51999990000,
33,Bruno,22356735052,2000-12-05,2022-07-15,,Gravataí,,,
34,Bruno,18076321312,1990-01-15,2021-05-01,"R$ 3.000,00",Canoas,SC,51999990000,Cliente antigo
35,Felipe,673.852.087-53,,2023-11-20,"R$ 2.500,00",São Leopoldo,SC,,
36,Carlos,94502229240,1985-07-30,2022-07-15,,São Leopoldo,,,Cliente antigo
37,Carlos,341.727.809-31,,,,Canoas,,(51)99999-0000,
38,Carlos,174.749.453-65,1985-07-30,2023-11-20,,,,(51)99999-0000,Cliente antigo
39,Gabriela,526.029.257-05,,2023-11-20,,Canoas,RS,(51)99999-0000,
40,Eduarda,49234754229,2000-12-05,2023-11-20,,Gravataí,,(51)99999-0000,
41,Daniela,375.209.957-73,1985-07-30,,,São Leopoldo,PR,(51)99999-0000,
42,Bruno,78980277001,,,"R$ 2.500,00",,,(51)99999-0000,
43,Felipe,49017502317,,2023-11-20,,,SC,,
44,Felipe,266.663.495-38,,2023-11-20,,,,(51)99999-0000,
45,Eduarda,11998469372,1985-07-30,2021-05-01,3500.00,Gravataí,RS,,
46,Carlos,98644654616,2000-12-05,2022-07-15,,,,,Cliente antigo
47,Daniela,12075203152,2000-12-05,2022-07-15,,,RS,,
48,Eduarda,711.993.736-47,,,,Porto Alegre,RS,(51)99999-0000,
49,Carlos,15071102901,1985-07-30,,,Porto Alegre,,,
50,Daniela,254.728.972-33,,2023-11-20,"R$ 3.000,00",Canoas,,,Cliente antigo
51,Gabriela,16226907366,,2023-11-20,"R$ 2.500,00",Gravataí,,,
52,Bruno,37681948187,,2021-05-01,"R$ 2.500,00",,SC,51999990000,
53,Carlos,90461641554,,2023-11-20,3500.00,Canoas,RS,51999990000,
54,Eduarda,272.173.282-19,,,,Canoas,PR,51999990000,
55,Ana,97507899487,,2022-07-15,"R$ 2.500,00",Porto Alegre,SC,51999990000,Cliente antigo
56,Felipe,79470048746,1990-01-15,2021-05-01,,São Leopoldo,PR,51999990000,Cliente antigo
57,Daniela,45696848209,,2022-07-15,3500.00,,,(51)99999-0000,
58,Bruno,95164076942,,,,São Leopoldo,SC,(51)99999-0000,
59,Daniela,98886080229,2000-12-05,,3500.00,Porto Alegre,PR,,
60,Bruno,624.939.949-51,,2022-07-15,"R$ 2.500,00",Gravataí,PR,,
61,Bruno,38594444930,1985-07-30,,"R$ 3.000,00",São Leopoldo,SC,,
62,Bruno,35832161895,,,,Gravataí,,(51)99999-0000,
63,Felipe,597.586.405-45,1985-07-30,2023-11-20,,,SC,51999990000,Cliente antigo
64,Daniela,11080383971,2000-12-05,,"R$ 3.000,00",Canoas,PR,,
65,Bruno,21443861483,2000-12-05,,,,SC,(51)99999-0000,
66,Eduarda,90495148067,1990-01-15,,"R$ 3.000,00",,PR,,
67,Gabriela,3495362604,,2021-05-01,"R$ 3.000,00",Gravataí,,,
68,Carlos,19660268795,1990-01-15,2022-07-15,"R$ 3.000,00",Gravataí,RS,51999990000,
69,Eduarda,792.693.352-50,,2022-07-15,"R$ 3.000,00",Canoas,PR,(51)99999-0000,
70,Bruno,65902525403,1985-07-30,2021-05-01,,,SC,(51)99999-0000,Cliente antigo
71,Daniela,93041097744,,,,Canoas,PR,,
72,Gabriela,084.027.902-26,1990-01-15,2021-05-01,"R$ 3.000,00",Canoas,SC,,Cliente antigo
73,Eduarda,599.091.932-19,2000-12-05,,,Porto Alegre,PR,51999990000,
74,Gabriela,70732513420,2000-12-05,2022-07-15,,,SC,,
75,Eduarda,837.644.515-06,,,,Canoas,RS,,Cliente antigo
76,Ana,159.402.635-25,2000-12-05,2021-05-01,,Porto Alegre,PR,,Cliente antigo
77,Felipe,11392681587,1990-01-15,,,Canoas,,(51)99999-0000,
78,Bruno,25879032696,2000-12-05,2021-05-01,"R$ 2.500,00",Gravataí,PR,(51)99999-0000,
79,Daniela,37569704345,,2021-05-01,"R$ 3.000,00",Canoas,RS,,
80,Eduarda,21331432294,,2021-05-01,,,SC,(51)99999-0000,
81,Felipe,369.070.009-66,2000-12-05,,,São Leopoldo,RS,,
82,Gabriela,45822449680,2000-12-05,,,Gravataí,RS,(51)99999-0000,
83,Daniela,45350998533,,,3500.00,,,(51)99999-0000,
84,Daniela,1254832525,,,,Gravataí,,,
85,Daniela,30578060390,2000-12-05,,"R$ 2.500,00",Porto Alegre,PR,,Cliente antigo
86,Bruno,43392181740,2000-12-05,2022-07-15,,Gravataí,RS,(51)99999-0000,
87,Eduarda,42602360064,,,"R$ 3.000,00",Canoas,PR,51999990000,
88,Gabriela,24035214681,,2023-11-20,,Porto Alegre,RS,,
89,Daniela,93212977208,,2021-05-01,,Gravataí,,,Cliente antigo
90,Felipe,886.461.177-62,2000-12-05,2021-05-01,3500.00,Gravataí,,51999990000,Cliente antigo
91,Carlos,73649440492,1990-01-15,2021-05-01,"R$ 3.000,00",São Leopoldo,,(51)99999-0000,
92,Felipe,07237064513,,2023-11-20,3500.00,Gravataí,SC,51999990000,
93,Daniela,45118095654,,,"R$ 2.500,00",Gravataí,RS,,Cliente antigo
94,Daniela,92626075790,2000-12-05,2022-07-15,"R$ 2.500,00",Porto Alegre,SC,51999990000,Cliente antigo
95,Carlos,64446307547,,2023-11-20,"R$ 2.500,00",Porto Alegre,RS,(51)99999-0000,Cliente antigo
96,Daniela,60887066304,2000-12-05,2022-07-15,3500.00,Porto Alegre,SC,51999990000,
97,Bruno,94396474352,2000-12-05,2023-11-20,"R$ 2.500,00",Porto Alegre,PR,51999990000,
98,Eduarda,481.259.464-79,1990-01-15,2023-11-20,3500.00,São Leopoldo,PR,,
99,Eduarda,03647684460,,2023-11-20,,Canoas,RS,(51)99999-0000,
100,Carlos,960.876.904-56,2000-12-05,2023-11-20,"R$ 3.000,00",,RS,,Cliente antigo
101,Felipe,01965327739,2000-12-05,2022-07-15,,Porto Alegre,PR,,Cliente antigo
102,Felipe,48801807726,,2022-07-15,"R$ 2.500,00",São Leopoldo,PR,(51)99999-0000,
103,Carlos,42516602334,2000-12-05,,3500.00,,SC,,
104,Ana,311.097.766-45,,2022-07-15,,Porto Alegre,PR,,
105,Eduarda,402.087.283-27,2000-12-05,2021-05-01,"R$ 3.000,00",São Leopoldo,PR,,
106,Bruno,49779143504,1990-01-15,2022-07-15,,São Leopoldo,PR,51999990000,
107,Carlos,20305214187,1990-01-15,,3500.00,São Leopoldo,RS,,
108,Bruno,97620826160,1990-01-15,2023-11-20,,,SC,51999990000,Cliente antigo
109,Felipe,17373751582,,,3500.00,Gravataí,,,
110,Ana,577.827.938-81,,,"R$ 2.500,00",,,51999990000,
111,Bruno,67634645416,,,,São Leopoldo,,(51)99999-0000,
112,Daniela,81541476290,,,,Canoas,SC,,
113,Ana,52733750208,2000-12-05,,3500.00,,RS,(51)99999-0000,
114,Ana,06950366307,1985-07-30,,,Porto Alegre,PR,,Cliente antigo
115,Bruno,948.661.340-76,,2022-07-15,,São Leopoldo,RS,,
116,Daniela,59159210711,1985-07-30,2022-07-15,"R$ 2.500,00",Porto Alegre,SC,,
117,Daniela,52913518952,1985-07-30,2022-07-15,,Gravataí,,,Cliente antigo
118,Ana,75075001729,,,,São Leopoldo,PR,51999990000,Cliente antigo
119,Carlos,47680682837,1990-01-15,,3500.00,São Leopoldo,,,
120,Eduarda,192.982.574-43,,,,São Leopoldo,PR,51999990000,Cliente antigo
121,Carlos,89643056025,,2023-11-20,,Canoas,RS,,
122,Carlos,60187874261,,2021-05-01,,Gravataí,SC,51999990000,
